From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
13005;3283;sea;2765;-1;-1;-1;-1;;Tobago-Trinidad
11102;379;sea;5531;-1;-1;-1;-1;;Grenada-St Vincent
379;11346;sea;5531;-1;-1;-1;-1;;St Vincent-Barbados
379;13002;sea;5531;-1;-1;-1;-1;;St Vincent-St Lucia
13002;177;sea;5531;-1;-1;-1;-1;;St Lucia-Martinique
177;7121;sea;5531;-1;-1;-1;-1;;Martinique-Dominica
7121;9374;sea;5531;-1;-1;-1;-1;;Dominica-Guadeloupe
9374;4448;sea;2886;-1;-1;-1;-1;;Guadeloupe-Montserrat
4448;13077;sea;2886;-1;-1;-1;-1;;Montserrat-Anguilla
13077;4153;sea;5505;-1;-1;-1;-1;;Anguilla-Virgin Islands
1439;4153;sea;5505;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10199;9802;sea;5862;-1;-1;-1;-1;;Corfu-Epirus
1105;11995;sea;5911;-1;-1;-1;-1;;Lefkada-Epirus
3400;7125;sea;6799;-1;-1;-1;-1;;Cyclades-Greece
8432;6862;sea;7449;-1;-1;-1;-1;;Lesbos-Turkey
6548;4110;sea;7223;-1;-1;-1;-1;;Chios-Turkey
7001;9938;sea;7223;-1;-1;-1;-1;;Kos-Bodrum
10003;10118;sea;7223;-1;-1;-1;-1;;Rhodes-Turkey
9830;11825;sea;5410;-1;-1;-1;-1;;Bosphorus
9677;6739;sea;8279;-1;-1;-1;-1;;Kerch Strait
10007;7108;sea;2707;-1;-1;-1;-1;;Tushima-Kyushu #Changed
4158;1038;sea;5242;-1;-1;-1;-1;;Hainan-Strait
7361;3690;sea;8927;-1;-1;-1;-1;;Quebec-Strait
3690;7810;sea;6259;-1;-1;-1;-1;;Cold Ass-Strait
7256;1392;sea;8558;-1;-1;-1;-1;;Vancouver-Strait #Changed
11043;198;sea;13361;-1;-1;-1;-1;;Barents-Strait #Changed
11153;3144;sea;2577;-1;-1;-1;-1;;Northern-Straits
11086;91;sea;5790;-1;-1;-1;-1;;Northern-Straits
44;11046;sea;5790;-1;-1;-1;-1;;Northern-Straits
22;3015;sea;5790;-1;-1;-1;-1;;Northern-Straits
6060;6203;sea;3589;-1;-1;-1;-1;;West Scottish-Strait
8432;6548;sea;7449;-1;-1;-1;-1;;Aegan Isle-Strait
7301;4358;sea;5776;-1;-1;-1;-1;;New Foundland-Strait #Changed
6447;9559;sea;2870;-1;-1;-1;-1;;Channel islands #Added
5405;5380;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5405;2399;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2454;2505;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5410;7675;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
4386;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
4386;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
10906;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
10906;12800;impassable;-1;-1;-1;-1;-1;;Himalayas
12723;2014;impassable;-1;-1;-1;-1;-1;;Himalayas
12723;5016;impassable;-1;-1;-1;-1;-1;;Himalayas
1116;5016;impassable;-1;-1;-1;-1;-1;;Himalayas
1116;5016;impassable;-1;-1;-1;-1;-1;;Himalayas
1116;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1116;5100;impassable;-1;-1;-1;-1;-1;;Himalayas
4316;5100;impassable;-1;-1;-1;-1;-1;;Himalayas
1897;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1897;1960;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1960;impassable;-1;-1;-1;-1;-1;;Himalayas
1128;1960;impassable;-1;-1;-1;-1;-1;;Himalayas
12763;10822;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;7516;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12756;10822;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1910;7516;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10817;7516;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;12824;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1977;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1977;8087;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1107;8087;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8041;8087;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8041;5062;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12798;7516;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12798;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12798;12119;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;7516;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4542;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4542;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4542;12307;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12211;12307;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
1675;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
1675;12112;impassable;-1;-1;-1;-1;-1;;pamir mountains
1675;12112;impassable;-1;-1;-1;-1;-1;;pamir mountains
1675;4826;impassable;-1;-1;-1;-1;-1;;pamir mountains
4224;4826;impassable;-1;-1;-1;-1;-1;;pamir mountains
4389;4826;impassable;-1;-1;-1;-1;-1;;pamir mountains
4389;7702;impassable;-1;-1;-1;-1;-1;;pamir mountains
4389;12519;impassable;-1;-1;-1;-1;-1;;pamir mountains
3313;6334;sea;8619;-1;-1;-1;-1;;Afsluitdijk
10241;13051;impassable;-1;-1;-1;-1;-1;;Greenland
10241;12505;impassable;-1;-1;-1;-1;-1;;Greenland
13323;14347;impassable;-1;-1;-1;-1;-1;;Greenland
13323;14348;impassable;-1;-1;-1;-1;-1;;Greenland
13323;13324;impassable;-1;-1;-1;-1;-1;;Greenland
14347;13051;impassable;-1;-1;-1;-1;-1;;Greenland
13330;12505;impassable;-1;-1;-1;-1;-1;;Greenland
13330;13329;impassable;-1;-1;-1;-1;-1;;Greenland
13330;13059;impassable;-1;-1;-1;-1;-1;;Greenland
10632;13328;impassable;-1;-1;-1;-1;-1;;Greenland
10632;13059;impassable;-1;-1;-1;-1;-1;;Greenland
14350;13328;impassable;-1;-1;-1;-1;-1;;Greenland
13327;13328;impassable;-1;-1;-1;-1;-1;;Greenland
-1;-1;;-1;-1;-1;-1;-1;-1
